n,k,seed,num_edges,mu,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,timestamp
80,2,5,145,0.15,bnb_c,0.018993854522705078,True,False,0.403424494649227,True,,lfr,2026-03-11T21:25:30.112033
80,2,6,168,0.15,gurobi,0.31267404556274414,True,False,0.33949829931972736,True,,lfr,2026-03-11T21:25:30.539461
80,2,6,168,0.15,bnb_c,0.05997014045715332,True,False,0.339498299319728,True,,lfr,2026-03-11T21:25:30.703697
80,2,7,149,0.15,gurobi,0.08430004119873047,True,False,0.3840817981172036,True,,lfr,2026-03-11T21:25:30.902379
80,2,7,149,0.15,bnb_c,0.0126800537109375,True,False,0.384081798117202,True,,lfr,2026-03-11T21:25:31.021162
80,2,8,144,0.15,gurobi,0.06462907791137695,True,False,0.3581934799382686,True,,lfr,2026-03-11T21:25:31.197389
80,2,8,144,0.15,bnb_c,0.013383865356445312,True,False,0.358193479938272,True,,lfr,2026-03-11T21:25:31.324247
80,2,9,153,0.15,gurobi,0.22993206977844238,True,False,0.3946559015763178,True,,lfr,2026-03-11T21:25:31.666089
80,2,9,153,0.15,bnb_c,0.028522014617919922,True,False,0.394655901576317,True,,lfr,2026-03-11T21:25:31.796081
80,2,10,143,0.15,gurobi,0.16685795783996582,True,False,0.3826103965964057,True,,lfr,2026-03-11T21:25:32.077848
80,2,10,143,0.15,bnb_c,0.014406919479370117,True,False,0.382610396596411,True,,lfr,2026-03-11T21:25:32.202829
80,2,11,165,0.15,gurobi,0.2640681266784668,True,False,0.3630670339761204,True,,lfr,2026-03-11T21:25:32.579884
