n,k,graph_seed,num_edges,iterations,run,time,success,timed_out,modularity,optimal_modularity,error,timestamp,found_optimal,gap
100,2,16,294,2,16,0.005414009094238281,True,False,0.3942280994030265,0.4017538988384469,,2026-02-02T20:32:07.756493,False,0.007525799435420422
100,2,17,280,2,17,0.0054988861083984375,True,False,0.39484056122448985,0.4056122448979591,,2026-02-02T20:32:07.962310,False,0.010771683673469257
100,2,18,277,2,18,0.005990028381347656,True,False,0.407557768249293,0.407557768249293,,2026-02-02T20:32:08.167912,True,0.0
100,2,19,244,2,19,0.005647182464599609,True,False,0.43036146197258807,0.43036146197258807,,2026-02-02T20:32:08.373513,True,0.0
100,2,0,264,5,0,0.005853891372680664,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:08.583156,True,0.0
100,2,1,309,5,1,0.005989789962768555,True,False,0.42146081419339965,0.42146081419339965,,2026-02-02T20:32:08.788460,True,0.0
100,2,2,284,5,2,0.005856990814208984,True,False,0.4088908450704225,0.4088908450704225,,2026-02-02T20:32:08.993150,True,0.0
100,2,3,312,5,3,0.005738973617553711,True,False,0.3790064102564103,0.3790064102564103,,2026-02-02T20:32:09.199242,True,0.0
100,2,4,261,5,4,0.006613016128540039,True,False,0.437566976409624,0.437566976409624,,2026-02-02T20:32:09.407029,True,0.0
100,2,5,253,5,5,0.0060541629791259766,True,False,0.4169023106125701,0.4169023106125701,,2026-02-02T20:32:09.614031,True,0.0
100,2,6,267,5,6,0.006310224533081055,True,False,0.41321943076772016,0.4187111616097855,,2026-02-02T20:32:09.822729,False,0.005491730842065334
100,2,7,271,5,7,0.006345987319946289,True,False,0.41049958470064407,0.41049958470064407,,2026-02-02T20:32:10.032414,True,0.0
100,2,8,287,5,8,0.006276845932006836,True,False,0.42680498731318817,0.42680498731318817,,2026-02-02T20:32:10.237434,True,0.0
100,2,9,301,5,9,0.0054929256439208984,True,False,0.40630898113707353,0.40630898113707353,,2026-02-02T20:32:10.447432,True,0.0
100,2,10,249,5,10,0.005610227584838867,True,False,0.41795293624296387,0.41795293624296387,,2026-02-02T20:32:10.652108,True,0.0
100,2,11,296,5,11,0.005692958831787109,True,False,0.42356989590942296,0.42356989590942296,,2026-02-02T20:32:10.859598,True,0.0
100,2,12,303,5,12,0.006276130676269531,True,False,0.4009192998507771,0.4009192998507771,,2026-02-02T20:32:11.065795,True,0.0
100,2,13,278,5,13,0.005792856216430664,True,False,0.39184695409140313,0.3989441540292946,,2026-02-02T20:32:11.271606,False,0.007097199937891485
100,2,14,279,5,14,0.005894899368286133,True,False,0.43516912680977893,0.43516912680977893,,2026-02-02T20:32:11.479169,True,0.0
100,2,15,326,5,15,0.005835056304931641,True,False,0.38853080657909594,0.39090199104219214,,2026-02-02T20:32:11.688798,False,0.0023711844630961987
100,2,16,294,5,16,0.007131814956665039,True,False,0.4017538988384469,0.4017538988384469,,2026-02-02T20:32:11.897053,True,0.0
100,2,17,280,5,17,0.006000995635986328,True,False,0.39484056122448985,0.4056122448979591,,2026-02-02T20:32:12.102962,False,0.010771683673469257
100,2,18,277,5,18,0.005774974822998047,True,False,0.407557768249293,0.407557768249293,,2026-02-02T20:32:12.306524,True,0.0
100,2,19,244,5,19,0.0059680938720703125,True,False,0.43036146197258807,0.43036146197258807,,2026-02-02T20:32:12.514733,True,0.0
100,2,0,264,10,0,0.006340980529785156,True,False,0.39582615932047754,0.39582615932047754,,2026-02-02T20:32:12.721285,True,0.0
100,2,1,309,10,1,0.0057370662689208984,True,False,0.42146081419339965,0.42146081419339965,,2026-02-02T20:32:12.929149,True,0.0
