n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
20,16,2,39,21,bnb_c,0.016013145446777344,True,False,0.434240362811791,True,,abcd,0.1,2026-03-03T02:42:30.560931
20,20,2,40,24,gurobi,0.022402048110961914,True,False,0.3333333333333336,True,,abcd,0.1,2026-03-03T02:42:30.709781
20,20,2,40,24,bnb_c,0.0210878849029541,True,False,0.333333333333333,True,,abcd,0.1,2026-03-03T02:42:30.847839
20,20,2,41,24,gurobi,0.022625207901000977,True,False,0.402777777777778,True,,abcd,0.1,2026-03-03T02:42:30.998476
20,20,2,41,24,bnb_c,0.020262956619262695,True,False,0.402777777777778,True,,abcd,0.1,2026-03-03T02:42:31.133628
20,20,2,42,24,gurobi,0.01717209815979004,True,False,0.4505208333333335,True,,abcd,0.1,2026-03-03T02:42:31.285492
20,20,2,42,24,bnb_c,0.019339799880981445,True,False,0.450520833333333,True,,abcd,0.1,2026-03-03T02:42:31.418516
20,20,2,43,24,gurobi,0.01668095588684082,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:31.568193
20,20,2,43,24,bnb_c,0.022757291793823242,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:31.707805
20,20,2,44,22,gurobi,0.02744603157043457,True,False,0.4090909090909092,True,,abcd,0.1,2026-03-03T02:42:31.858286
20,20,2,44,22,bnb_c,0.02370476722717285,True,False,0.409090909090909,True,,abcd,0.1,2026-03-03T02:42:31.997226
20,20,2,45,24,gurobi,0.01774907112121582,True,False,0.4574652777777781,True,,abcd,0.1,2026-03-03T02:42:32.147799
20,20,2,45,24,bnb_c,0.02056097984313965,True,False,0.457465277777778,True,,abcd,0.1,2026-03-03T02:42:32.281896
20,15,2,46,17,gurobi,0.011591911315917969,True,False,0.434256055363322,True,,abcd,0.1,2026-03-03T02:42:32.401096
20,15,2,46,17,bnb_c,0.016243934631347656,True,False,0.434256055363322,True,,abcd,0.1,2026-03-03T02:42:32.513154
20,13,2,47,15,gurobi,0.010035037994384766,True,False,0.4333333333333335,True,,abcd,0.1,2026-03-03T02:42:32.627198
20,13,2,47,15,bnb_c,0.015139102935791016,True,False,0.433333333333333,True,,abcd,0.1,2026-03-03T02:42:32.743322
20,20,2,48,24,gurobi,0.024790048599243164,True,False,0.4131944444444448,True,,abcd,0.1,2026-03-03T02:42:32.891713
20,20,2,48,24,bnb_c,0.022553205490112305,True,False,0.413194444444445,True,,abcd,0.1,2026-03-03T02:42:33.030019
20,20,2,49,25,gurobi,0.023318052291870117,True,False,0.4127999999999998,True,,abcd,0.1,2026-03-03T02:42:33.180121
20,20,2,49,25,bnb_c,0.023101806640625,True,False,0.4128,True,,abcd,0.1,2026-03-03T02:42:33.319299
20,20,2,50,24,gurobi,0.017698049545288086,True,False,0.40277777777777785,True,,abcd,0.1,2026-03-03T02:42:33.469181
20,20,2,50,24,bnb_c,0.021284818649291992,True,False,0.402777777777778,True,,abcd,0.1,2026-03-03T02:42:33.605072
20,20,2,51,25,gurobi,0.022839069366455078,True,False,0.3800000000000001,True,,abcd,0.1,2026-03-03T02:42:33.756500
20,20,2,51,25,bnb_c,0.021298885345458984,True,False,0.38,True,,abcd,0.1,2026-03-03T02:42:33.892096
20,20,2,52,22,gurobi,0.029905080795288086,True,False,0.3626033057851242,True,,abcd,0.1,2026-03-03T02:42:34.050407
20,20,2,52,22,bnb_c,0.020760059356689453,True,False,0.362603305785124,True,,abcd,0.1,2026-03-03T02:42:34.185151
20,17,2,53,22,gurobi,0.013418912887573242,True,False,0.40495867768595045,True,,abcd,0.1,2026-03-03T02:42:34.302743
20,17,2,53,22,bnb_c,0.018419981002807617,True,False,0.40495867768595,True,,abcd,0.1,2026-03-03T02:42:34.414333
20,17,2,54,18,gurobi,0.017650842666625977,True,False,0.3827160493827159,True,,abcd,0.1,2026-03-03T02:42:34.541019
20,17,2,54,18,bnb_c,0.016610145568847656,True,False,0.382716049382716,True,,abcd,0.1,2026-03-03T02:42:34.660784
20,17,2,55,20,gurobi,0.018021106719970703,True,False,0.3949999999999998,True,,abcd,0.1,2026-03-03T02:42:34.791060
20,17,2,55,20,bnb_c,0.017436742782592773,True,False,0.395,True,,abcd,0.1,2026-03-03T02:42:34.906476
20,17,2,56,20,gurobi,0.01367807388305664,True,False,0.44874999999999965,True,,abcd,0.1,2026-03-03T02:42:35.023835
20,17,2,56,20,bnb_c,0.018082141876220703,True,False,0.44875,True,,abcd,0.1,2026-03-03T02:42:35.142118
20,20,2,57,25,gurobi,0.02510213851928711,True,False,0.35119999999999985,True,,abcd,0.1,2026-03-03T02:42:35.292778
20,20,2,57,25,bnb_c,0.021779298782348633,True,False,0.3512,True,,abcd,0.1,2026-03-03T02:42:35.436285
20,20,2,58,24,gurobi,0.018116235733032227,True,False,0.41666666666666674,True,,abcd,0.1,2026-03-03T02:42:35.588894
20,20,2,58,24,bnb_c,0.020954132080078125,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:35.735194
20,20,2,59,24,gurobi,0.01691913604736328,True,False,0.4574652777777777,True,,abcd,0.1,2026-03-03T02:42:35.885552
20,20,2,59,24,bnb_c,0.02257990837097168,True,False,0.457465277777778,True,,abcd,0.1,2026-03-03T02:42:36.028090
20,20,2,60,26,gurobi,0.023096084594726562,True,False,0.38387573964497035,True,,abcd,0.1,2026-03-03T02:42:36.177976
20,20,2,60,26,bnb_c,0.02294778823852539,True,False,0.38387573964497,True,,abcd,0.1,2026-03-03T02:42:36.318837
20,20,2,61,25,gurobi,0.01674795150756836,True,False,0.4312,True,,abcd,0.1,2026-03-03T02:42:36.460827
20,20,2,61,25,bnb_c,0.023061037063598633,True,False,0.4312,True,,abcd,0.1,2026-03-03T02:42:36.606758
20,20,2,62,24,gurobi,0.017663955688476562,True,False,0.45746527777777807,True,,abcd,0.1,2026-03-03T02:42:36.759314
20,20,2,62,24,bnb_c,0.022231101989746094,True,False,0.457465277777778,True,,abcd,0.1,2026-03-03T02:42:36.904460
20,12,2,63,15,gurobi,0.009672880172729492,True,False,0.3111111111111111,True,,abcd,0.1,2026-03-03T02:42:37.019515
20,12,2,63,15,bnb_c,0.014279842376708984,True,False,0.311111111111111,True,,abcd,0.1,2026-03-03T02:42:37.130591
20,12,2,64,13,gurobi,0.010470867156982422,True,False,0.272189349112426,True,,abcd,0.1,2026-03-03T02:42:37.250873
20,12,2,64,13,bnb_c,0.0133209228515625,True,False,0.272189349112426,True,,abcd,0.1,2026-03-03T02:42:37.362668
20,20,2,65,23,gurobi,0.017119169235229492,True,False,0.4413988657844992,True,,abcd,0.1,2026-03-03T02:42:37.520326
20,20,2,65,23,bnb_c,0.023280858993530273,True,False,0.441398865784499,True,,abcd,0.1,2026-03-03T02:42:37.722011
20,20,2,66,22,gurobi,0.0270841121673584,True,False,0.3925619834710748,True,,abcd,0.1,2026-03-03T02:42:37.878584
20,20,2,66,22,bnb_c,0.02342987060546875,True,False,0.392561983471074,True,,abcd,0.1,2026-03-03T02:42:38.024610
20,20,2,67,26,gurobi,0.017853736877441406,True,False,0.4230769230769229,True,,abcd,0.1,2026-03-03T02:42:38.171823
20,20,2,67,26,bnb_c,0.020992755889892578,True,False,0.423076923076923,True,,abcd,0.1,2026-03-03T02:42:38.308613
20,20,2,68,23,gurobi,0.027085065841674805,True,False,0.4120982986767485,True,,abcd,0.1,2026-03-03T02:42:38.451623
20,20,2,68,23,bnb_c,0.022690773010253906,True,False,0.412098298676749,True,,abcd,0.1,2026-03-03T02:42:38.589901
20,20,2,69,23,gurobi,0.021385908126831055,True,False,0.42249527410207954,True,,abcd,0.1,2026-03-03T02:42:38.731210
20,20,2,69,23,bnb_c,0.020835161209106445,True,False,0.422495274102079,True,,abcd,0.1,2026-03-03T02:42:38.867782
20,20,2,70,24,gurobi,0.016721010208129883,True,False,0.4131944444444447,True,,abcd,0.1,2026-03-03T02:42:39.010968
20,20,2,70,24,bnb_c,0.021091938018798828,True,False,0.413194444444445,True,,abcd,0.1,2026-03-03T02:42:39.147376
20,20,2,71,25,gurobi,0.01704692840576172,True,False,0.4471999999999998,True,,abcd,0.1,2026-03-03T02:42:39.293410
20,20,2,71,25,bnb_c,0.02331399917602539,True,False,0.4472,True,,abcd,0.1,2026-03-03T02:42:39.431720
20,16,2,72,21,gurobi,0.013286828994750977,True,False,0.3945578231292517,True,,abcd,0.1,2026-03-03T02:42:39.544202
20,16,2,72,21,bnb_c,0.015935897827148438,True,False,0.394557823129252,True,,abcd,0.1,2026-03-03T02:42:39.655180
20,20,2,73,24,gurobi,0.023501873016357422,True,False,0.4166666666666671,True,,abcd,0.1,2026-03-03T02:42:39.801083
20,20,2,73,24,bnb_c,0.020884990692138672,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:39.937775
20,20,2,74,26,gurobi,0.028434276580810547,True,False,0.3838757396449707,True,,abcd,0.1,2026-03-03T02:42:40.082727
20,20,2,74,26,bnb_c,0.02383899688720703,True,False,0.38387573964497,True,,abcd,0.1,2026-03-03T02:42:40.221656
20,14,2,75,17,gurobi,0.010865211486816406,True,False,0.3806228373702424,True,,abcd,0.1,2026-03-03T02:42:40.333805
20,14,2,75,17,bnb_c,0.015816211700439453,True,False,0.380622837370242,True,,abcd,0.1,2026-03-03T02:42:40.444453
20,20,2,76,24,gurobi,0.0172879695892334,True,False,0.3854166666666667,True,,abcd,0.1,2026-03-03T02:42:40.587524
20,20,2,76,24,bnb_c,0.021692991256713867,True,False,0.385416666666667,True,,abcd,0.1,2026-03-03T02:42:40.724662
20,14,2,77,15,gurobi,0.010441303253173828,True,False,0.4333333333333334,True,,abcd,0.1,2026-03-03T02:42:40.836550
20,14,2,77,15,bnb_c,0.01436305046081543,True,False,0.433333333333333,True,,abcd,0.1,2026-03-03T02:42:40.946037
20,20,2,78,25,gurobi,0.022420883178710938,True,False,0.3807999999999999,True,,abcd,0.1,2026-03-03T02:42:41.091914
20,20,2,78,25,bnb_c,0.02196502685546875,True,False,0.3808,True,,abcd,0.1,2026-03-03T02:42:41.232309
20,20,2,79,21,gurobi,0.016680002212524414,True,False,0.45238095238095183,True,,abcd,0.1,2026-03-03T02:42:41.376968
